max_iter,learning_rate,min_samples_leaf,l2_regularization,label
469,0.0011158605904087314,31,0.12071476756241557,-0.7718927125506074
35,0.16824459214069265,13,1.6022402727414745e-08,-0.7680769230769231
201,0.2929087541614764,95,0.0017666982704728786,-0.7646153846153846
316,0.00013120158111618903,73,0.0013970309308296493,-0.5
21,0.019223543031595392,50,3.7439294208035495e-06,-0.7560425101214575
64,4.840013661389846,37,7.995595675956916e-05,-0.5373684210526315
499,0.0048724423825087446,61,1.5493132451587613e-05,-0.7707388663967611
369,0.12318501284061126,95,4.9788829229612625e-06,-0.7654554655870445
320,4.762434351791102,46,2.893911375337539e-05,-0.5695748987854251
191,1.5196391471019506,20,1.5228582858710342,-0.775910931174089
71,0.009282456071271606,100,0.01752385486383837,-0.7560425101214575
457,0.006723859189463343,64,1.2542232304819801e-08,-0.7695242914979757
185,0.00011516538692280807,9,3.9832266318751555,-0.5
168,0.04277122928252745,95,0.00379347950229174,-0.7770242914979757
181,0.009392890241314997,49,1.2540200233601417,-0.7696558704453441
358,0.6753747622324529,53,5.3112329150319655e-06,-0.7627024291497976
85,0.0018019612410295146,59,9.121907782091186e-06,-0.5131578947368421
104,0.0005815332124351182,15,0.01008153625836347,-0.5
229,0.3980066091068242,52,1.729556748999045e-05,-0.7845647773279352
430,0.00038966433055104705,83,1.1600868065923991e-07,-0.5
252,0.05860294881178557,82,4.3650482400383695e-07,-0.7934615384615384
260,0.055488162982974126,78,6.068280589986948e-07,-0.7754453441295547
244,1.0992664675910686,69,3.6438965665649703e-07,-0.7705971659919029
127,9.441936688451644,84,0.00014206063322695119,-0.42856275303643726
247,0.3684218478801128,35,9.249803793613725e-08,-0.7809817813765182
295,0.07823875688831433,85,1.0098883950226802e-06,-0.7749999999999999
367,0.025829332386729284,25,0.0003933900467585932,-0.7546153846153846
143,0.6110516180124045,42,3.9258368558574995e-08,-0.7646862348178138
233,2.1149384009561487,29,1.3501425742638218e-06,-0.608906882591093
284,0.00253487171578626,3,4.5300876389303735e-05,-0.7629453441295546
398,0.17965910946055766,56,0.0002857756206966556,-0.7607085020242914
224,0.016445226572869575,68,0.2021661179668895,-0.7738157894736842
332,0.18739714868095603,76,1.5384639888445232e-07,-0.7619230769230769
275,0.35471470006842515,41,2.859399291260179e-08,-0.762834008097166
212,2.780658242203352,90,0.0011404800035593192,-0.6195546558704452
148,0.0886775116748177,70,2.1049343472067067e-06,-0.7803744939271255
45,7.19276976909019,64,0.07253410223828279,-0.5341194331983805
410,0.03391325688707989,32,2.5933875136771083e-07,-0.762246963562753
302,0.0036578933325138183,78,1.733650457927648e-05,-0.7541194331983806
338,0.014268498654006024,98,8.12742906681331e-05,-0.7764473684210527
116,0.9839793562463369,45,1.148288032777368e-08,-0.7755364372469635
264,0.2486659952864434,92,0.0006282636014800159,-0.7556376518218623
163,0.11069924856364374,54,3.0371792142915903e-06,-0.7781477732793523
206,3.550212825142606,60,4.8279396945137096e-08,-0.608755060728745
391,0.5183289117292046,73,0.0049323031677087695,-0.7640485829959514
499,0.00021667712025370754,25,1.9596784523746558e-05,-0.5
20,0.0011928239661353386,50,7.65255678142505e-06,-0.5
471,0.06028312969125459,38,0.00012882530119860463,-0.7673178137651822
312,0.010133907019475068,88,4.529031943475327e-05,-0.7733704453441296
348,0.00483075235506333,1,4.940325111773154e-07,-0.7489068825910932
192,1.4663693586220357,16,0.03888596640857568,-0.760080971659919
90,0.025344042123837236,8,0.0029015435936823935,-0.7744939271255061
171,0.1260964187974558,64,0.3942554180145235,-0.7624291497975709
62,5.029816270846483,81,8.104876899300879e-06,-0.5427935222672065
221,0.04748569909905198,46,9.633341500071627e-07,-0.7730161943319838
453,0.8563936487756577,99,1.92569584095448e-08,-0.7475708502024292
242,0.2671878012824419,56,8.407255434702724e-08,-0.758917004048583
378,0.0006957270655679837,22,0.013975809821422625,-0.7070748987854251
283,0.41518828671214214,72,2.0937663825375312e-07,-0.7580769230769231
323,1.6656305707022452,65,0.0002347194193968507,-0.7512246963562752
254,0.012717693549061916,34,3.314246467882529e-05,-0.7783400809716599
137,0.021404903570832738,94,2.229640964658339e-06,-0.7641902834008097
159,0.007427944481923839,86,0.0006847182654128528,-0.7610425101214575
110,9.419330853758861,81,7.557092741318403e-07,-0.5682591093117408
427,0.14188030314219796,47,0.007416070964725333,-0.766740890688259
198,0.03403292740118839,37,7.70307159099668e-08,-0.7817510121457489
265,0.03767340790667049,40,6.77028217130124e-08,-0.7756477732793521
194,0.07254550829911677,30,1.5920441161814405e-06,-0.7629554655870445
232,0.0026215742609130913,26,3.4567926087723346e-07,-0.7649696356275303
176,0.22861347767850873,43,3.798517724853098e-06,-0.771163967611336
296,0.10399105073865393,20,1.2025213683059351e-05,-0.7692307692307693
213,0.02718078479530414,52,1.4965819288462394e-07,-0.7821862348178138
277,0.018786751650016826,53,2.9744679277035674e-08,-0.7800607287449393
153,0.5212526827695808,61,5.509075501010893e-06,-0.7639777327935222
214,0.059627572500489494,66,1.378092997163846e-07,-0.7749392712550607
127,0.18756014605455812,57,1.2349364159293334e-08,-0.7700101214574898
308,0.005662034464606239,51,2.1209120052683914e-08,-0.7695242914979757
358,0.33853792947367684,76,7.15264511874428e-05,-0.7621255060728744
239,0.0015498201814064636,62,5.42703957400817e-07,-0.7560425101214575
39,0.7033777334096288,68,1.972929510523376e-07,-0.7492914979757085
93,0.003049942028818251,72,7.239448807285726,-0.7560425101214575
332,0.010828905367689469,58,1.9836336848096658e-05,-0.7833906882591093
329,0.0006591042165707081,76,0.0016168499057407967,-0.7560425101214575
346,0.007453295152178119,88,2.047489334023024e-05,-0.7631680161943319
386,0.00027387650375014164,58,0.00012178189884496716,-0.5
425,0.0019273948006150446,49,0.00047199799786982316,-0.764585020242915
254,0.0008933435785127479,81,0.00021038203580799178,-0.7560425101214575
291,0.012021935853144271,54,5.560498485112807e-05,-0.789676113360324
