max_iter,learning_rate,min_samples_leaf,l2_regularization,label
110,0.0723246621147485,48,0.0006731801403487823,-0.8206882591093118
254,0.5941262025018588,52,8.32769510634386e-06,-0.7755971659919029
170,0.21365135070257787,53,4.788895450012865e-06,-0.785991902834008
271,0.18868804945573137,75,9.657171078458792e-05,-0.783157894736842
190,0.008238357204237278,29,0.022259942511030684,-0.8105971659919028
453,0.5419324986760454,91,0.0071393781662250294,-0.7702732793522267
390,0.0004437896284086995,8,2.0293299893065066e-05,-0.6314979757085021
248,0.036253466269327336,66,1.005920320871859e-05,-0.8118825910931176
236,0.00032381630350639416,22,0.0065261217115987,-0.5
490,0.025727484304006776,84,2.4721927814762137,-0.7960425101214574
88,0.000698347994941205,23,0.001082803899121277,-0.5
213,0.004390009005116294,54,0.007018962775923448,-0.7536842105263158
241,0.0003858430659449701,71,2.6412561291030196e-07,-0.5
400,0.00017847968029906466,32,0.0029004783819508665,-0.5
67,0.003097116644746585,58,2.1132176765441023e-06,-0.6855060728744938
199,0.0011316635427183065,33,0.9635832562447987,-0.6832692307692307
189,0.0023618551891270425,11,0.00038064364646891834,-0.7655668016194332
381,0.0006284349809057827,69,7.925617395933404,-0.5090384615384616
410,0.02731420286387118,42,0.07861291774864543,-0.8147165991902835
128,0.005182881938748478,54,1.18431891761949e-05,-0.7446356275303644
320,9.42984612527829,41,0.11177675168054012,-0.5503744939271255
312,5.9333217955178,42,0.18435767592538235,-0.6534210526315789
35,0.032734574300849535,41,1.1821777980973981e-08,-0.7796052631578947
140,2.1281961219190797,15,0.06042983217678178,-0.5810931174089069
12,0.0820370278746986,45,8.404626473455032e-05,-0.7692105263157895
497,0.00997876462994335,63,0.6997084332378507,-0.8115485829959515
441,1.4406917006107314,79,0.0005628567809007602,-0.7603947368421052
329,0.07845268864656359,36,1.5805203038259453e-07,-0.8036133603238866
292,0.01382425430136989,98,0.00010674112848424213,-0.7653643724696356
348,0.2881208800814943,49,9.568649739481872,-0.7974696356275304
112,0.08051915324856536,3,0.030494733958835674,-0.7775910931174088
162,1.0268925948206042,59,0.22893661786609937,-0.7846457489878542
55,0.16233956378117628,25,0.0013676532195043213,-0.7996963562753037
362,0.37385335766144046,49,0.01770666582946864,-0.7805263157894737
454,0.02354765942292759,17,5.4549638202915885e-05,-0.7954757085020242
277,4.609387435187798,38,7.807973718147048e-07,-0.6958097165991902
432,0.14135199953106284,29,0.5820558185627707,-0.7941295546558703
12,0.6803080677037557,81,3.4876103846633884,-0.8029655870445342
95,0.015847319134427402,92,0.020107597194136604,-0.7477125506072875
168,0.0014192455566052805,63,0.00016799612857009355,-0.6956477732793522
413,0.05265197113936888,1,0.0019481934412146338,-0.7780364372469635
483,0.006263481268339253,72,1.379102788490144e-08,-0.791923076923077
220,0.1260612559235779,45,3.42156676207061e-05,-0.7998987854251012
266,0.00013106881416844943,27,0.00511228231098803,-0.5
289,0.047073324644811704,58,3.923741278410438e-06,-0.8094534412955465
471,0.5642835497475661,20,0.0007162564633747911,-0.7777631578947368
374,0.2595526314296326,33,2.585498863337296,-0.8083704453441296
226,2.644262521506365,8,6.781436433956317e-08,-0.6592611336032388
249,0.0025908382928921713,51,0.011102369643198055,-0.7471356275303644
408,0.01810678628407895,89,0.0002295202057024009,-0.7823076923076923
72,0.009643429381637604,46,0.05842772767257604,-0.7547672064777328
191,0.00026188111376708906,75,0.0043083328640263156,-0.5
37,0.00354669964609076,65,1.839573819920319e-05,-0.5
155,0.0015424391271255068,56,0.24937849177735644,-0.7003947368421052
119,0.0006602708858340725,38,6.213457023918663e-06,-0.5
341,0.051966057725006766,30,1.5191861209256439,-0.8192712550607288
347,0.040252047162641344,11,3.216389827551358e-08,-0.7832287449392712
303,1.0056730850041329,20,1.2491381180499073,-0.8010526315789473
138,0.3503824222333593,31,1.139883055207374e-06,-0.8018927125506072
329,0.06281507395194691,15,0.4378998326613359,-0.7870040485829958
89,0.11940095967065496,36,8.45508529107223,-0.8177226720647773
206,0.007189458461896752,5,1.7762728762995377,-0.7882186234817813
178,2.894587670056582,54,3.3112723576223696e-07,-0.5376923076923076
263,0.22533718043048073,68,3.9716111553009985,-0.7777631578947369
230,9.086525486468048,23,0.03655489054994342,-0.6985020242914979
108,0.11016605188019972,36,7.466343479577489,-0.8231174089068827
30,0.013070421416281817,27,0.44969861026272107,-0.745587044534413
58,0.10096087168025308,46,5.3744555484150744,-0.8129655870445344
143,0.022873707373450868,35,0.010008345131134218,-0.8221457489878542
113,0.18546903466184683,40,0.0027011639028723796,-0.7960526315789473
101,0.4345099682866869,34,0.00039795466159271454,-0.8031781376518218
152,0.022963540959745055,61,0.0012472382104827655,-0.8009716599190282
70,0.028075486148492423,51,0.011492963388019696,-0.7826821862348179
134,0.03494292273396972,42,0.11541777463838546,-0.8228542510121457
131,0.004735100184842017,19,0.07764391036142056,-0.7918623481781377
182,0.010858355615399457,44,0.14522769254744042,-0.7955769230769231
81,0.0019610865173550892,13,0.2759225528800158,-0.5953542510121457
48,0.001056031825789512,25,0.8371600642364934,-0.5
26,0.07014375324912998,39,0.04076078190762149,-0.8021862348178137
200,0.018409165629297227,43,0.01035599540272256,-0.8143825910931174
147,0.03751636412268912,35,0.11372882701694824,-0.8143825910931174
104,1.1220881312422115,28,0.027488586368506707,-0.7862348178137651
11,0.6437679366115309,48,5.535434405589944,-0.8090080971659919
120,0.003935286506162787,54,0.36478285840398944,-0.7446356275303644
240,0.09733251989351933,61,0.0007117875239375024,-0.8088765182186235
170,0.005978493786573608,23,0.01646965504616745,-0.7921963562753036
45,1.5953687703816093,25,0.0032698812309209175,-0.7197267206477733
211,0.00773954481398817,37,0.006705523106637858,-0.8048178137651825
135,0.021861439054234977,56,1.9550956666410997,-0.7944230769230769
79,0.0009298635277747667,49,0.05273636327498388,-0.5
21,0.1584601587300513,18,0.0019926229870010246,-0.7991902834008097
124,0.448209117154946,16,0.904228128857282,-0.790414979757085
194,0.2795423478182222,41,0.08604846282877832,-0.7812348178137652
57,0.033190122009605444,75,0.00012317505902628985,-0.755414979757085
93,0.00045588875160068533,32,0.17626621839966425,-0.5
163,0.8475480551166277,52,2.917366954052075,-0.778674089068826
274,0.06125660621414776,11,7.030580393867123e-05,-0.7773886639676114
222,0.002743050559699391,9,0.00022895459792062264,-0.7798785425101216
150,0.01474981756404272,47,4.339870921533224e-05,-0.7948684210526316
255,0.1944850170636018,6,0.018353914363485595,-0.7892004048582996
