max_iter,learning_rate,min_samples_leaf,l2_regularization,label
37,0.6105065392909863,4,0.009084390028307267,-0.8280137823280634
180,0.0017309469120841366,13,0.00010410010953299453,-0.7637857470290861
12,0.16614150194074798,27,0.0104752940206223,-0.8084558880654166
198,0.11178150747711585,19,0.022075574260226726,-0.8391675683535441
71,0.451164966659286,34,0.001442275959889579,-0.8290426698082307
94,0.7554934633218829,19,0.1439522912401865,-0.8262487931378073
39,0.0059244907337301774,11,0.00012594298643472186,-0.7124384493123606
48,0.40027613954397157,2,0.3190478289573455,-0.8341692999073069
101,0.009681649028992233,38,0.0003272947622487668,-0.7983000577709518
57,0.0015384739046892006,14,0.013942031039240988,-0.5
151,0.7179651618847166,12,0.00040347105681330094,-0.8320629044825602
50,0.04764008675489352,16,0.00019178412043679288,-0.8146391513062554
76,0.5593282101151307,15,0.00016325086214934002,-0.8290046412417216
54,0.6558147462159993,12,0.004757792972216184,-0.8300720688567136
42,0.015570458222351983,6,0.07001257795365574,-0.7958338546844388
95,0.5677716378594689,5,0.1190175462425562,-0.8316886872488926
173,0.05118421066754027,12,0.00011047806975618253,-0.8340912809670626
12,0.826580286436382,26,0.6680978033493747,-0.8238175327441898
151,0.0062239224339372574,11,0.29081749371753934,-0.7995177163456766
60,0.7145725975697511,9,0.00018427023362017585,-0.8287400523345839
197,0.2025866875545184,26,0.03714153647135529,-0.8427684791169415
196,0.1461273066118917,26,0.03164190765566488,-0.8393631871622314
129,0.1857956952076985,26,0.03828559616694338,-0.8335731462520368
198,0.09549080711622554,31,0.003646107272548349,-0.8331228487407021
179,0.23637207995618909,23,0.06014167368839051,-0.8382817465362244
125,0.026479962281917412,31,0.0014252385413570153,-0.8164717615244126
155,0.07423995243539144,37,0.023783233852566737,-0.8329439417999416
199,0.33837411681057433,23,0.6332741320851321,-0.8369528939114208
166,0.02599276321535144,29,0.005391200680849892,-0.8219003965990632
131,0.25015149727434616,22,0.1585726544002296,-0.8353805760469207
188,0.12953436369398239,35,0.001988179580606169,-0.8330049081448548
117,0.060811232482563246,32,0.04476027594240611,-0.8289386415322463
25,0.04170452938953845,18,0.018080107341550373,-0.8014537654863945
188,0.16054425052663576,28,0.006304865174531979,-0.8385977556944425
141,0.3005844380286087,24,0.027740902079662413,-0.8417599551098803
139,0.0026953559080506156,40,0.012916027457185958,-0.764089838124896
113,0.3300468936750849,21,0.09589599441765999,-0.8336204956696124
161,0.99952887252336,18,0.3597009146125745,-0.8329544642638991
141,0.08707023216151072,24,0.008930329250946424,-0.8349029521023168
75,0.012439305055822143,20,0.002529307325888656,-0.8007229596059549
89,0.23009865440647134,34,0.0007458006075435898,-0.8303948796783687
169,0.0338012701205767,29,0.1966604692955841,-0.8268424278440527
