hidden_layer_sizes,alpha,learning_rate_init,label
761,1.038013104448888,3.0361353637435595e-05,-0.495
547,0.6437814540103829,8.675212385741873e-05,-0.49333333333333335
404,1.107905383852226,0.017181853935525914,-0.5
978,0.017882262478094987,0.0058085339869423,-0.5
651,3.117113147450269e-07,0.0008176722518679256,-0.5
579,1.111928471770331e-07,1.8780667135218477e-05,-0.49160919540229886
993,1.4039926799608091,0.10834521118796694,-0.5
522,1.223618600861819e-06,0.028032444863301507,-0.5
107,0.028829162639719404,0.4217009559914807,-0.5
865,6.471759451561931,0.014091928304403091,-0.5
936,0.005242324575283578,9.020771062258168e-05,-0.5
615,0.00031030356001031487,0.051809462602812134,-0.54
691,2.0838163063346255e-05,0.2242034793924504,-0.521551724137931
726,7.706042914713974e-05,0.18994738495661495,-0.49833333333333335
246,0.29119824076493156,0.00044866062775179686,-0.495
413,1.5108549820113468e-05,0.004528895043330977,-0.5
879,0.007328549620969941,0.16498840168201248,-0.5
665,0.0453309170855919,0.20064774984771738,-0.5
223,0.3007096551832814,0.4271833769703288,-0.5
878,0.02857615717626364,0.2486373766204851,-0.5
441,0.00029571124005104647,0.04865737545938643,-0.5
793,9.037253828261349e-06,0.06641380392790784,-0.5
640,0.0007564153203757056,0.0014006600664202183,-0.5
318,5.730668702457364e-05,0.006564867500387263,-0.5
498,1.557365865611097e-06,0.061858385264281564,-0.5
715,0.001723287800140926,0.4485986964247238,-0.52
605,0.00018822883269119752,0.024887386989584603,-0.5
813,2.009905745207411e-05,0.011715723215818551,-0.5
753,3.5965838041229063e-06,0.03911640945365548,-0.5
474,0.0016520879353617228,0.0020058475852564248,-0.5
344,4.5586851710741986e-07,0.07650099727201036,-0.5
577,5.903982424493211e-05,0.00031864515586282324,-0.5
691,0.00031646662648495593,0.003173309849476964,-0.5
816,3.6171033980714454e-06,0.01081889405534994,-0.5
538,1.5227333928419992e-07,8.316629019824225e-05,-0.48994252873563215
632,0.00599455188113203,0.12070782385741499,-0.5
357,0.0006908493854805597,0.027297614018355836,-0.5
582,2.803583356144875e-05,0.2728663690700712,-0.5
999,0.1134332601613594,1.0271296223513204e-05,-0.5064367816091955
925,7.163068966632068e-07,0.1059523476904514,-0.5198275862068965
161,0.0001411655823795951,0.006568911620240501,-0.5
775,4.496270835259066e-06,0.4975280422386971,-0.5233333333333333
948,6.729366843679497e-06,0.4760541328267364,-0.5
773,1.6079070765836837e-07,0.0008106006288492998,-0.5
856,1.714037377858389e-06,0.00021639768819522561,-0.5
468,0.002461928353938899,0.015454049097553971,-0.5
736,5.02558845353951,0.12112938545737063,-0.5
525,0.01231633359904105,0.32842759806707256,-0.5
402,3.6181690696816735e-05,0.04098912159198955,-0.5
80,3.4750851470665966e-07,0.008945571663268122,-0.5
918,0.000123306042449392,0.022086422470376413,-0.5
679,8.258648639943216e-06,0.004016398421158161,-0.5
846,0.0004313688937360899,5.369828553536618e-05,-0.49000000000000005
271,1.9597903922285178,0.15640675343204744,-0.5
623,0.060659887253027324,0.001053527021787135,-0.5
960,0.0030314359161652087,0.07805184715770176,-0.5233333333333333
967,0.4016685868702934,0.001765630911791176,-0.5
897,0.14215541496493772,0.018927247424387905,-0.5
148,0.013585870088971143,0.07637608719029831,-0.5433333333333333
55,0.015549127980092538,0.00266213698095367,-0.5
164,1.2286549022360576,0.0005796745727272315,-0.49160919540229886
147,0.009865674737283241,0.005139894943942839,-0.5
290,0.023596592824475026,0.049429213349180115,-0.5
217,2.480612777266932,0.03563090785201563,-0.5
433,0.004308875244441764,0.00883060631586758,-0.5
394,0.003186446037383583,0.07868517006686968,-0.5
200,0.0013945623649601131,0.09184055194577424,-0.5
564,0.6691074929937224,0.358629669038993,-0.5
720,0.000621280728287858,0.17712420570191925,-0.49833333333333335
655,1.3660368515978691e-05,0.2929166946323323,-0.5
117,0.07622529218847633,0.059943129475206414,-0.5
820,2.588096905141206e-06,0.030707053811107464,-0.5
506,0.00028242127362676305,0.1506914673576452,-0.5
370,0.0010833189014495689,0.017662893607166785,-0.5
469,0.03593893279458315,0.012189419603085143,-0.5
317,0.007576526132892995,0.20823259967551627,-0.5
250,0.0019514094356752982,0.05878532866122637,-0.5
324,0.19622789321029546,0.0035879235047284685,-0.5
782,7.833996679629384e-07,1.692655634205478e-05,-0.5
753,9.329605560120026e-05,0.47789492778591464,-0.5
608,5.1137206826076524e-05,0.0002533962899185379,-0.495
992,0.0037839302700799966,0.007446009306270896,-0.5
899,0.00020669472509402966,0.09754094478881815,-0.525
701,0.0005119681866346284,0.02365608900053788,-0.5
430,0.0010994701060270385,0.12159550783539136,-0.5648275862068965
436,0.018007034289326106,0.13916194451304825,-0.5
381,0.0008762648629932833,0.013953614674381309,-0.5
485,0.06959474509468538,0.2529624430181568,-0.495
92,3.3605546261119544e-05,0.00015039626032818069,-0.48988505747126443
545,0.00016170048734531018,0.0469269309409709,-0.5
566,0.00037077483103475873,0.035582712564781245,-0.5
55,0.005827210266247675,0.0014714896819575788,-0.4915517241379311
197,8.90756136157001e-05,0.38923640899430145,-0.5
414,1.6707751430454157e-05,0.0025628674517405524,-0.5
605,0.0011588915556814123,0.005673484302790604,-0.5
449,0.009593950016822832,0.20738227384952,-0.5
287,0.04413862768002282,0.07746286615316098,-0.5466666666666666
270,8.706502428961658,0.11359850237436116,-0.5
122,0.5647075953557481,0.07140970283620889,-0.5
334,0.2283144069798942,0.021255190227644754,-0.5
