hidden_layer_sizes,alpha,learning_rate_init,label
353,0.10382134087740774,0.017992083486120653,-0.5072463768115941
647,0.0004744677495899854,0.0005353037973226755,-0.5
451,1.6259416520004352e-06,0.2536835049738242,-0.5
407,0.0574685422474438,0.0008492294934464892,-0.5
526,4.492453696058564e-06,0.38705469576605966,-0.532991057662658
64,0.00905224861152511,0.04724453166005974,-0.5
365,0.16144699015254393,0.0015127686632660225,-0.5
356,2.2314993493446756e-07,0.31565647109471934,-0.5
880,2.4426598827524446e-05,3.1000172642720725e-05,-0.5
939,0.004391302037767702,0.00017568827608340526,-0.5
416,3.930412529651075e-06,0.0036846251139908814,-0.5
294,0.004552002805089375,0.0003161135683798943,-0.498936170212766
166,2.234625941294939,0.00037092624751334244,-0.49680851063829784
961,0.00012398308481062712,0.0044306978552916204,-0.5
409,0.0235154619319446,0.015802291500910438,-0.5168085106382979
531,5.6904386792483285e-05,0.0003340764889845413,-0.5
386,0.01552400028717567,0.0024846761973670406,-0.5
337,1.8570070414945563,0.0005889299613603701,-0.498936170212766
186,4.397947299489535,0.006027779001630552,-0.5
924,7.321026331079105e-07,0.1966222033669639,-0.49572155411655877
609,0.000854019978677337,0.06463423155798835,-0.5206167129201356
756,1.1884028722560736e-05,0.07867540090866831,-0.498936170212766
577,0.00039415218890169343,0.09026188804939904,-0.5057446808510638
709,1.4241976393904382e-07,0.4791303567299879,-0.5
798,0.001809770142199531,0.024701635966667745,-0.5379448041936479
814,0.00014251441945972056,0.014042975789550601,-0.5
823,0.6215486695478638,0.03235237196333004,-0.5
673,0.002170502855717421,0.15217470011705597,-0.504031760715387
505,7.690683364594347e-06,0.011025750322305605,-0.5061825470243602
759,4.2804171326622455e-07,0.029127132878782876,-0.49572155411655877
246,5.725161699679497e-05,0.47506913100614095,-0.506159420289855
996,1.5180143525072921e-06,2.8446466924351192e-05,-0.48822849213691033
485,0.0004107449700294751,0.10777867405435579,-0.515095590502621
592,0.18339723868158506,0.0079490025641674,-0.5
77,0.04559325903171305,0.030065407155072603,-0.5068085106382979
863,3.5771848684128133e-06,7.226385835758661e-05,-0.5019041011409189
673,0.0022657569131935844,0.001597439341190545,-0.5
739,2.3316038086604696e-05,0.2639090999307744,-0.5458171446191797
727,0.00016582796695695888,0.24038329831966918,-0.502967930928153
810,4.882104155744622e-05,0.13759512096141363,-0.49787234042553197
991,2.5407304601981024e-05,0.038724235100455306,-0.5385707678075856
889,1.8138281791891292e-05,0.312959514128388,-0.498936170212766
989,1.495092183678988e-06,0.05065451514037425,-0.5314893617021277
917,5.260227458612574e-07,0.04330171346875381,-0.5
645,2.9703786788695403e-05,0.0010985334951694795,-0.5
868,3.2407404091782535e-06,0.003004567695954919,-0.5
552,1.433376598227108e-07,0.008418702206936912,-0.49787234042553197
993,0.00021444847274738435,1.151320272228217e-05,-0.5
466,8.192250130591094e-06,0.019707341385013885,-0.5283472093740363
961,0.004529271329923042,0.0048935335707272305,-0.5
766,0.0007352820343402753,0.3324647426122518,-0.5068085106382979
709,8.880972484298957e-05,0.18276582565562238,-0.5157446808510638
836,3.1122575705295046e-05,0.00020447706930607417,-0.5
893,0.010333073687339382,0.06592306834843241,-0.5308402713536848
637,8.934610506358401e-07,0.11331761183107823,-0.5251418439716312
938,3.5388102523582536e-07,0.04387574416972951,-0.5235938945420906
420,0.00028775721078027884,0.0020474851260855586,-0.5
312,1.4250581791282093e-05,0.46120893551418535,-0.5659620721554116
124,2.5769563925950566e-06,0.23266995784575759,-0.5
321,6.224350602415725e-06,0.4498042801893041,-0.5268578476719087
299,1.515576028118456e-05,9.966911316396878e-05,-0.4978260869565217
258,8.792869243552656e-05,1.1936269437045228e-05,-0.5
173,2.530912085897388e-07,0.0010303767748756167,-0.5
121,0.001509133037677615,0.017584166381129154,-0.5
260,0.5296813664311631,0.08084113852395282,-0.5
222,9.658469829568808e-06,0.13375468931978848,-0.5078723404255319
386,8.452661476936703e-07,0.3546235714151382,-0.5
532,0.0006305358220562361,0.012588630750961989,-0.5
431,1.95938517769526e-06,0.49963574133735633,-0.5393617021276595
431,1.982280149306968e-06,0.4769659497436548,-0.5
362,2.0046114907965503e-07,0.17566555998866912,-0.5062056737588653
446,4.8913958070004025e-05,0.0006275575806467569,-0.5
499,1.0634847709238909e-07,0.27661340944756807,-0.5
335,1.502669888175178e-05,0.062133665662888686,-0.5219272278754239
210,4.711533058757257e-06,0.09740051054400554,-0.5
615,1.0397226347909383e-06,0.024631757117614096,-0.5253330249768733
386,0.00010105947924248713,0.49869259042961284,-0.4968085106382979
284,5.029110809118356e-06,0.22160432709014105,-0.5068085106382979
577,2.13800265121217e-06,0.00748156702446166,-0.5
77,0.0012212304773499814,0.37335239221074407,-0.4989130434782608
543,0.002985176971949817,0.15525263580874352,-0.5
469,2.0940707222227283e-05,0.0561059859181153,-0.5
123,0.0002932156535763821,0.2889275793699652,-0.5114893617021277
674,4.77520018121176e-07,0.0757946057505362,-0.5
508,5.2895377561327994e-05,3.0474624320737415e-05,-0.49787234042553197
780,3.4622666073444645e-05,5.132985030971032e-05,-0.49565217391304345
386,1.1469512982591304e-05,0.022583307432626105,-0.49787234042553197
724,0.006903821065484047,0.11087512334966,-0.5068085106382979
152,1.195958326845782e-06,0.009979541119334894,-0.5
573,0.00017519581845228214,0.0353970704697586,-0.5413243909959914
677,0.058511999747730886,0.03292987920737551,-0.5168085106382978
558,0.0005364038220164355,0.005165743925617676,-0.5
617,0.0009460738872331502,0.0040243567624743855,-0.5
591,0.0002122793464685837,0.0027354623698025147,-0.5
791,0.015403147426248666,0.014237034692289157,-0.5
838,0.000326519938315936,0.006207559342255541,-0.5
740,0.00014651336384850823,0.042639286747108526,-0.539967622571693
694,0.026676074365964548,0.0018814288822966883,-0.5
650,8.395201592397737e-05,0.00024334537384378306,-0.5
480,0.0027950883758678657,0.12818178090513985,-0.5489762565525749
