max_iter,learning_rate,min_samples_leaf,l2_regularization,label
80,0.9105089420829942,12,0.00021061544038215833,-0.49605263157894725
144,0.18537106410888438,35,0.10797931349190207,-0.48855263157894735
72,0.15269942735628522,16,0.0004538626309279622,-0.4961842105263158
195,0.005103966301745003,24,0.04785622037862674,-0.47302631578947363
92,0.003950582100911456,11,0.004592845010022031,-0.5097368421052633
68,0.1994458123761785,26,0.06534388503846876,-0.4753947368421053
43,0.03176580883968032,7,0.0006489179823823039,-0.5019736842105262
159,0.0018220878546576114,10,0.5143645266804234,-0.491578947368421
148,0.006926843260722142,28,0.00019358277970004244,-0.49631578947368415
88,0.0026224178534368895,15,0.0002854519768962971,-0.5251315789473684
45,0.006245759511530738,18,0.00024443053775846375,-0.4776315789473684
151,0.01799651305051114,28,0.02155946270045384,-0.48552631578947364
121,0.04629991186900652,25,0.008567879611440033,-0.4909210526315789
198,0.075057543854738,10,0.5417086927945574,-0.49105263157894735
53,0.1700543618747387,22,0.000670192108448113,-0.4957894736842105
19,0.015059865492540484,13,0.0008401806697302425,-0.4914473684210526
118,0.04996992746417564,9,0.04692641600129771,-0.4989473684210527
17,0.4598403784983271,39,0.10403050622661009,-0.43157894736842106
37,0.005282765213665111,29,0.0006068012108620012,-0.5035526315789474
28,0.13471950474491032,38,0.004211189813682755,-0.46763157894736845
95,0.0010898987498602238,2,0.0024394455799476096,-0.49407894736842095
101,0.0020833481922162772,3,0.0020886858293932397,-0.51
112,0.0018723098156971953,2,0.001790124061669676,-0.5148684210526315
125,0.0015932998614977465,3,0.00012969394809884182,-0.49947368421052624
181,0.012524231652678682,17,0.001365551222442969,-0.48539473684210527
132,0.0030063457387274482,5,0.014182508685577322,-0.5076315789473685
112,0.0010214423326487209,20,0.0003494983871234395,-0.47250000000000003
170,0.009655949374936076,33,0.0013956683506810143,-0.48578947368421044
67,0.0028965687211647763,14,0.00010688948451760654,-0.525
84,0.024096845195510832,15,0.00010357382753618601,-0.5167105263157895
61,0.001199784770701806,14,0.0001025783190329872,-0.5147368421052632
77,0.003243819179008633,19,0.00018119416089135625,-0.4926315789473684
61,0.008336999406431551,6,0.00033694048854143364,-0.4965789473684211
83,0.0028381182141327004,23,0.27263045888428283,-0.48315789473684206
135,0.7431261721903185,12,0.004338236369014289,-0.4777631578947368
66,0.004187107176082073,16,0.00010125533383197624,-0.5009210526315789
91,0.012121022958177793,32,0.008498767907017217,-0.45960526315789474
104,0.024491057735774823,8,0.000890748580054532,-0.5147368421052632
31,0.002469224768688109,22,0.00032054328253698525,-0.4909210526315789
52,0.004341822906778754,12,0.00019596660942576598,-0.49947368421052635
72,0.0014465364643859514,20,0.03017553629399337,-0.46749999999999997
50,0.007034369517469697,18,0.0004683647239390184,-0.48565789473684207
92,0.08390744754774102,26,0.2552104583983882,-0.4932894736842105
11,0.040995124524785126,10,0.00015223966013911807,-0.5097368421052632
138,0.019678882223614365,14,0.00024588905138674057,-0.5196052631578947
74,0.010328849476029802,16,0.00324619451290701,-0.4901315789473684
159,0.23983900446868905,5,0.9859606846640078,-0.49644736842105264
42,0.005678662391132985,25,0.0011690472339380652,-0.4832894736842105
30,0.06727418162187486,21,0.0005372241537324946,-0.48842105263157887
109,0.00136544279655748,30,0.014686935777494069,-0.5115789473684211
125,0.033177078532921574,8,0.005980896102912059,-0.5252631578947368
186,0.11533309978697993,7,0.038510897472959,-0.501578947368421
157,0.2664473872629027,9,0.008335433023257777,-0.4988157894736842
125,0.033399632962940545,1,0.006032639066526283,-0.5069736842105262
148,0.41279301112641587,11,0.07674599299906733,-0.5013157894736843
142,0.0631098683754453,18,0.01967377606347869,-0.5113157894736842
167,0.0990207098303043,5,0.13217927209639402,-0.5175
118,0.0169196623296285,8,0.002663365822406617,-0.5356578947368421
97,0.017020465905311265,3,0.0028768754243586173,-0.5014473684210526
172,0.056368915870915214,8,0.005769025550552632,-0.506578947368421
189,0.032987174450186736,4,0.0126730408958601,-0.5073684210526316
117,0.025536684967107197,1,0.0008952726883323681,-0.5018421052631579
