hidden_layer_sizes,alpha,learning_rate_init,label
185,3.4443713849516953,0.01110400486886635,-0.5
78,0.07281366247265478,0.00019230447378875922,-0.518951367781155
191,0.0025873536040808306,2.1409880790970888e-05,-0.49247403748733537
72,7.354269828420262e-05,0.0020290488328497365,-0.5
192,1.9333988461155418e-05,0.015077232255150747,-0.5020535714285714
194,0.26893514877623054,0.08586926892285618,-0.4989285714285714
162,0.11522931114953787,0.052893555734260356,-0.4992857142857144
192,0.0010373367503250285,0.00010761993047592239,-0.5
100,1.0129139285788416e-05,0.0832725851997082,-0.5072372087132726
191,2.4556379463453784,1.2239343280573817e-05,-0.498359295845998
59,0.07433399893109154,0.0014753166610656427,-0.5134897416413373
89,0.000773042473319022,0.03037615078391991,-0.5138392857142857
150,0.0024265400361556154,0.0008736763786916524,-0.5
81,0.10075086818415668,0.07840632599224283,-0.5127678571428571
62,0.00016652093128213764,0.00012074305778583018,-0.49964285714285717
199,4.836760292817524e-05,0.014321096920745255,-0.5013418186423506
76,0.00041643798211202205,0.013928767407810839,-0.5
98,0.0021343708503745217,0.008292108291915644,-0.499645390070922
182,0.030150682316210962,2.1719117602819162e-05,-0.4988392857142857
134,5.9303637374669175e-05,0.009716828831029305,-0.4989311043566363
106,0.012393041046272354,0.00030367021979896605,-0.5
115,0.7409739603160207,0.0004940748643384977,-0.5013443515704156
88,0.006585216471597484,7.881160396054247e-05,-0.5044642857142857
51,0.00042947296797482044,0.0035499546083002783,-0.5
125,0.01898185461335659,0.00021467390078806496,-0.5075918186423506
88,8.16929704838149,3.712493118149474e-05,-0.5096479229989869
50,0.4905671129231848,0.0006520214850827606,-0.5
68,0.030942722919295024,0.004619330603012425,-0.49964285714285717
119,0.006246061857844501,0.02544075298199511,-0.5
136,2.643507512595335,5.355110378296329e-05,-0.49821935157041536
89,1.0188870950002609,0.00021724313571927796,-0.5017014944275583
105,0.0008278806357715008,0.001780958029910821,-0.5027678571428572
61,0.00015138478039152843,0.038944780863161756,-0.4992857142857143
75,0.005740344551379975,0.0031344945328968398,-0.49964285714285717
112,0.19522490513854845,0.0003560011813065585,-0.5
95,0.054103033359942716,0.0011931133231676155,-0.5
157,0.0013799986897123397,1.5513160914390708e-05,-0.5
83,2.1615321693698774e-05,0.006841753776790241,-0.4985739614994934
125,0.00022619741075868775,0.00014595210590178195,-0.5096479229989869
55,0.25356580244478355,0.029190837544652057,-0.49964285714285717
67,0.004141574414828361,3.83736287785745e-05,-0.5012601317122594
135,5.343809246233904,0.0006525681377069439,-0.5013392857142857
145,1.5429923204710854e-05,0.0024061282598215905,-0.49964285714285717
108,1.3177711633348859,7.775622171529997e-05,-0.49993097771023304
94,0.0005466629069530401,0.018786249178721234,-0.49964285714285717
168,0.14618736981088706,1.019427901348194e-05,-0.5
81,0.0444153541138941,0.05391966758524247,-0.5002678571428572
71,0.011436900713887217,0.00562066089605175,-0.5024107142857143
99,0.00010107454174629937,0.0011603154254922494,-0.5
64,0.0018024923624139282,0.09441219374557064,-0.5030433130699088
79,3.461684826856019e-05,2.0349310624679652e-05,-0.49920149442755835
119,0.4542254794077259,0.00020048118723032791,-0.49857142857142855
129,0.0033177103597063565,0.000430692155442359,-0.5
54,0.10472052297213112,0.0007844877038999335,-0.4989285714285714
141,0.02183614715388871,0.06570635942587251,-0.5107142857142858
104,0.0003018652989451932,8.995019705422784e-05,-0.4989336372847012
180,0.0011792977901292675,3.276880470550363e-05,-0.5077678571428572
91,9.856310418651381e-05,5.2408305969431286e-05,-0.5009872087132725
58,0.0008466345812983328,0.0025195871326071967,-0.5
84,0.07112900413470385,0.00013456276191296698,-0.49715045592705165
75,0.015516266600709453,0.004033876992592891,-0.4992857142857143
112,0.008867096854271605,0.009511533374097882,-0.503125
152,1.647151092613614,0.0003018136891970043,-0.5
72,0.00274719967429024,0.0017802735302657093,-0.5
119,0.41403088345193384,0.0005009516071742379,-0.5
65,0.03098634428296279,0.001491104280598124,-0.5
50,0.7310530712729777,0.013325236329104819,-0.5
55,0.188888291015455,0.00016879994594870158,-0.49714539007092196
60,0.0005871337231737941,0.00025471572321243366,-0.4982142857142858
69,0.0750947364785378,0.0416169066480818,-0.502770390070922
95,0.008163247310859614,0.006720700380989747,-0.49964285714285717
87,3.7337880930458143,0.019926806602657172,-0.5
77,0.004852266059081714,9.664728601119072e-05,-0.4989311043566363
86,0.0420136305772289,5.559024300278658e-05,-0.500354609929078
100,0.31361835321287584,0.0007694195332853092,-0.5
104,8.419157204255573,0.00268778696617439,-0.5
130,0.02347587322494654,0.0005345624837901658,-0.49964285714285717
74,0.0016158352480716732,0.00039375518528958465,-0.5030357142857144
93,0.014044928030831913,0.0010141170492321383,-0.5
109,0.1482168703331195,2.899611766107674e-05,-0.5058238348530901
81,0.06306669013607956,6.977359087391614e-05,-0.5013443515704153
58,0.9423076958851038,0.005035549949688424,-0.5
64,1.0048310625415929e-05,0.03117978176792654,-0.4992882472137792
69,3.681400693485502e-05,0.01109130175887474,-0.5051811043566363
54,0.00020542193106295868,0.00131769636431924,-0.5
167,1.782260435770957,1.4474416099280429e-05,-0.5
91,0.6684637654195771,0.00031180289936201674,-0.4989285714285714
79,0.003815922296297673,0.001947026741416204,-0.5
99,0.08222374710588608,0.019817618360340062,-0.5090178571428572
197,0.0419104654853518,2.4964820338467413e-05,-0.4989311043566363
114,0.0004255084577990963,0.07292229133860688,-0.5041071428571429
121,0.002252048155285924,4.2315146332485026e-05,-0.49751266464032423
83,0.006705796485081451,0.003067886057079378,-0.49964285714285717
50,0.016693084857227307,0.0001099025809996651,-0.5075227963525835
102,0.2722381869751427,0.007883049200226658,-0.502770390070922
96,0.00030439367270272975,0.0006011914938240411,-0.5
72,0.1298938057113975,0.00018954169437083383,-0.5
187,0.0006551049268394005,0.0009123731748193164,-0.5
66,8.474128531201806e-05,0.00014723715641320795,-0.5041122087132726
62,0.03007365404386919,0.004076449276289209,-0.5027678571428572
142,0.00012671071116831547,0.0002636401099509669,-0.4957244174265451
57,0.0028162665455666908,0.05752760907063991,-0.4992882472137792
90,0.3661812105960005,0.0015037396624689502,-0.5
122,0.2127064052871197,1.0288257583543505e-05,-0.49715045592705176
107,0.011525728441875242,0.04108073999059492,-0.5044642857142858
116,0.0011021995245867797,0.09472772915908087,-0.5103723404255319
85,6.400334806180978e-05,0.00043219190941991666,-0.4989336372847012
53,0.6010574849735049,0.015473036580250234,-0.5
111,4.886098734885963,6.378558924102202e-05,-0.4985739614994934
80,2.5562985100933235,0.0007323110278361147,-0.49929078014184397
