hidden_layer_sizes,alpha,learning_rate_init,label
330,0.15647734930074686,0.0702748266798067,-0.5
318,0.01538794109462323,0.003600209362728965,-0.49981818181818183
308,0.002192643314428464,0.01464759276732531,-0.5
645,0.13239267031091148,0.013198548369690538,-0.5
743,4.888946580788206e-07,0.008792070011872287,-0.5
261,1.930986634577178e-05,0.0001493869820454095,-0.49981818181818183
317,0.04174736058232163,0.10371759832359465,-0.5
584,0.03697406493939877,1.0650817712091118e-05,-0.5000413961038961
387,4.764481488723532e-05,0.015222567279697901,-0.5
287,1.1561804782671217e-06,0.005568519615780196,-0.5
318,0.0014758088337254885,0.001003694585604762,-0.5
797,4.895950592867922,0.08773961575158307,-0.5
118,0.000550462833880717,0.16045643321271064,-0.5
967,0.00011260143321807395,0.09045972712604416,-0.5
497,9.76290169941004e-05,0.002902673872457176,-0.5
568,0.0018931523980217648,0.0002759860532731611,-0.5
946,0.13224976999027904,0.0010802887472568692,-0.49981818181818183
988,0.0009557750636824034,0.00019680285218394227,-0.5
865,4.262966771432465e-05,0.05909744955998226,-0.5
302,0.9225397235355587,0.09124699769780756,-0.5000420548654244
130,3.502937434427177,1.2837851224886731e-05,-0.5
465,0.976109870969363,1.2963593791747152e-05,-0.49981884057971016
617,0.009422726929038144,4.619107207843187e-05,-0.5
212,0.7405686480109094,0.4664771437056674,-0.5
451,1.0781224294028195,0.27176150593619963,-0.5
660,0.010862037276646442,5.645697615161877e-05,-0.5
188,0.3592771243713892,0.031820438243170907,-0.5
410,3.722325144835314,0.0005261366315268715,-0.5
549,0.05505292473503604,3.04817666484634e-05,-0.499637022397892
731,6.734454489988353,0.032556959951352625,-0.5
197,0.02834976674509335,0.42092158760115694,-0.5
72,0.007242795104589988,0.0012700230907537208,-0.49981884057971016
389,0.1885814245210959,9.500422102852093e-05,-0.49981884057971016
585,0.0002979482873974868,0.0004403847313427481,-0.5
669,1.0746750158332862e-07,0.005456664664547142,-0.5
735,0.00426514047011465,0.0018400438641443992,-0.5
513,0.07094873235190181,0.0247035521255182,-0.5
243,5.272697843311318e-06,2.3088478929224282e-05,-0.5
351,1.6879791220036924,0.010569487368366302,-0.5
845,0.47950370481737675,0.25058331384216287,-0.5
419,0.01911830348553766,0.006089292303285061,-0.49981884057971016
350,0.1612255137042815,0.046395551070190034,-0.5
271,0.003066826146477309,0.018904179991908604,-0.49981884057971016
70,9.660162476884276,0.1398888548999297,-0.5
146,7.86846241922547e-06,0.00011767520656006064,-0.49981818181818183
617,0.0002500968464355753,0.0006758309565494582,-0.5
707,1.8721763448042736,0.003335784198016103,-0.5
805,0.2924319456135464,0.0002239227809791535,-0.5
477,0.05380846852140096,0.002205695150651071,-0.5
519,0.0009427647623605579,0.00034468378818652053,-0.5
911,0.08430866157950445,0.00893891845123559,-0.5
291,0.01878517502015517,7.493637054517408e-05,-0.5000413961038961
309,0.018982002406866476,6.638883259271019e-05,-0.5
161,0.0003954767669600466,2.006366489288985e-05,-0.5
227,3.9995913206576773e-07,0.0007354817348510176,-0.5
50,9.88425785369907,3.999510103580591e-05,-0.5
97,2.3472911841682373,1.00726934329088e-05,-0.49981818181818183
282,0.005774878985479959,0.00015412193038367045,-0.5002232142857143
351,0.00010914083116080078,0.00012441929364769363,-0.5
174,1.289038072931109e-05,0.0014331937533816886,-0.5
450,2.2458248686324005e-06,0.00017387774383163806,-0.5
251,3.222114837229507e-05,0.23683166589538954,-0.5
386,0.005436553617637796,0.004199241944596946,-0.5
552,0.0009323892742999882,0.0513039477202302,-0.5
109,0.7603207426950523,0.10504103718861743,-0.5
609,0.10744880163220051,0.00024293653912701408,-0.5
696,0.03287681573583528,1.70122564392269e-05,-0.5
768,0.0017989435818926906,1.1544980421167596e-05,-0.5000420548654244
798,0.0013936031303912614,0.00036326235063123313,-0.5
991,0.00017177364921348875,4.0430572638288524e-05,-0.5
873,7.481237510409561e-05,1.3295184803025927e-05,-0.5
769,0.00052936384409701,0.0008306620025302403,-0.5
932,0.0044538602701815954,2.4828971127226168e-05,-0.5
207,0.01035954382873264,9.669567603772462e-05,-0.5
427,0.002022639945496964,0.015163699993995377,-0.5
374,3.048019199400233e-05,0.0015583285575490081,-0.5
330,0.002833563081119321,0.00015968185528231684,-0.5
643,0.22384861664508948,2.8870679175222386e-05,-0.5
485,0.00016242319895403838,0.0005446400785912874,-0.5
280,0.5055762957764897,5.586315396408969e-05,-0.49981818181818183
836,7.256963345428205e-05,0.48900936400501727,-0.5
451,4.614440126591634,0.0009785850699265573,-0.5
765,0.0006079734163900157,0.31631834160901523,-0.5
140,0.04147819846688491,0.002432466710691478,-0.49981884057971016
232,0.007373265919478662,0.07585957803261649,-0.5
568,1.635260789908316e-07,0.16949774021708863,-0.5
298,2.8667623834376037e-06,0.00031684309475115227,-0.5
531,0.001517122446501746,0.02994269807112438,-0.5
403,0.028144147094568514,0.021049319543535616,-0.5
894,1.6142940677109123e-05,0.006746350666011284,-0.49981884057971016
84,1.148624669365915,0.011214054111134839,-0.49870923913043474
961,0.012566721979884224,1.464018972269551e-05,-0.5
502,7.335231803830638e-07,0.004340367260476806,-0.49981884057971016
321,0.003062030012757225,9.051387562820046e-05,-0.49981818181818183
264,2.780285999657436,3.2060900986932585e-05,-0.499637022397892
176,6.165004390947867,4.9607337538571774e-05,-0.5
582,0.10974817207062669,0.00012659153016001757,-0.5
713,0.32319107295208277,0.0004851472618038892,-0.5
51,0.0006521573901373281,0.002624264506424275,-0.5
364,0.06712452050982037,0.03917414111141632,-0.5000413961038961
