max_iter,learning_rate,min_samples_leaf,l2_regularization,label
235,0.010367464557062328,89,1.3816422745834646e-07,-0.6582358273534744
84,0.34656856352705223,52,6.696484570962157e-05,-0.7461751755869404
317,0.0008921491610132118,76,5.112972776359601,-0.520946645946646
392,3.9381131746988203,35,0.0004912529326087899,-0.5267055928820635
354,0.0003499297766155245,51,8.191139659630924e-05,-0.5
447,0.009380147179668567,86,0.0011320724763246841,-0.6717564026387557
456,0.16882170987860315,81,0.2186733219789251,-0.7328229504700092
152,0.0003155124724461034,46,8.787684755454963e-05,-0.5
56,0.8328110341931749,8,2.684262121831768e-07,-0.7753637430108018
114,0.014289060129239427,31,0.01833830915292573,-0.7134173560644149
347,0.23480700268374213,18,0.015652669631942537,-0.7976838520956168
117,6.8542742784029285,33,0.1163691095886973,-0.5216284260401908
153,0.0371376367940489,36,3.4339493836632454e-06,-0.7644727821198408
97,0.06477504224837154,100,3.3054215671324494e-05,-0.6588978015448603
202,0.00020104962152857271,32,7.6924757889601265,-0.5
72,0.00010287538779260935,23,0.03519566687350861,-0.5
392,0.015772324963459216,83,0.3602594074676928,-0.6663619604796075
32,0.00021677350940161162,27,0.0015317102841663768,-0.5
417,0.001247124269529074,48,5.98712728424144e-05,-0.6708693267516797
80,0.003521841002466905,73,6.127091715840951e-05,-0.5675990675990676
306,1.4945485303637136,2,3.4286747037715906e-08,-0.5910370675076558
14,1.038590976709113,3,3.1106374611787455e-07,-0.7740249402014109
275,0.30098700410588847,13,0.012068243087425629,-0.800493243140302
262,0.15994014689394745,15,0.007187847605647838,-0.7758234684705274
290,0.3833270698566286,18,1.7712407045081033,-0.7897892956716486
345,2.638485846417545,13,0.005213315411886365,-0.5977501256913021
491,0.08851651909056929,63,3.6594721873685032e-06,-0.7257328183798771
217,0.40647921603648496,42,0.9206630161219895,-0.7751500677971267
252,7.691536170857865,21,0.05405295327487376,-0.5607953593247711
188,0.03864779437900601,8,0.004891133608233508,-0.7896742690860339
285,0.18670653709188154,59,9.264923793586074e-06,-0.7394929689047336
356,0.006588075456788685,11,0.8254525967033549,-0.7659361335831923
332,0.5828958053422023,3,0.000397427114421527,-0.7927304721422368
381,2.167496125629717,39,3.036444016423054,-0.7283673842497371
492,0.081489706638956,57,0.0008058434578785605,-0.7567732376555906
437,0.21702601020433473,24,0.0020700820023487644,-0.7878928805399393
255,0.02143978044540419,28,0.014483118432161664,-0.7631713058183646
311,0.002900076043181457,70,0.08724160533834753,-0.6590063531240001
171,3.6920777319400333,42,0.3323197090348861,-0.5097970656794186
374,0.8015894776971629,7,0.0002554121576086996,-0.7859884668708198
407,0.12393495794059231,98,0.00022609028739936407,-0.6915691606868077
230,0.2693306133609252,16,0.016331998598750782,-0.7795538339655986
328,0.05285346053766959,54,0.002594653371261389,-0.7468219144689733
471,1.5436540958792824,20,1.3942258310637147e-05,-0.6731751908222496
285,4.570952436823608,37,9.389644678201401,-0.5727996404466993
153,0.02316299258767392,67,0.1579719924971496,-0.6921907613084084
427,0.0059489518631908895,91,1.3351044741636432e-06,-0.6574207383030912
129,0.6385903818682374,46,0.03118730567441672,-0.7530428721605192
470,0.001061230673468906,29,1.1584869195217494e-08,-0.6675362219479866
363,0.012164538373239742,10,0.00014647178434830564,-0.7880798939622469
212,0.0006452154989618666,25,0.6524898510148991,-0.5413097795450736
403,0.12972284576536666,6,0.0009463099562619781,-0.7862806039276627
270,0.04900166842144987,35,2.7573347239478133e-05,-0.7615403659521307
332,9.395518106807724,1,3.3322232026256517,-0.6371493974435151
238,1.2069202562421621,51,0.008802926935679922,-0.7585725276901748
296,0.30872960223659396,14,0.05797859507751571,-0.7861827170650699
179,0.00266020801547684,32,0.0032661759696222497,-0.6799941344058991
58,0.4494311125115319,78,0.028354421666402972,-0.6935706994530524
457,4.66122357447799,18,0.23857736107688068,-0.5112131876837759
239,0.024584489014740838,39,0.0006657558194656157,-0.7647051205874735
123,0.0017447003630419971,43,1.199921711446763e-06,-0.5514740161798986
196,2.3486458048449546,4,1.796512474967478,-0.7116294925118454
275,0.07794895076102944,20,9.990266208405698e-05,-0.787264043146396
391,0.008250019076821933,11,0.010535405856142118,-0.772670140317199
99,0.00011490361255019073,47,0.5258197865266355,-0.5
341,0.613885566265565,1,0.00041180115992492286,-0.7977550771668419
315,0.11663114549332733,5,0.0012644741524894896,-0.7900475341651811
342,0.5254659135569866,23,0.0005440560774916281,-0.7850560659384189
369,0.7882630329948777,9,0.004261852704758124,-0.7845784389902036
421,1.7128837488481736,17,4.416638937470447e-05,-0.555422627481451
302,0.22903961073657636,12,1.957193671174366e-05,-0.7894525953349483
352,1.0254727406904465,26,7.113799582463349e-06,-0.772332678215031
384,3.3856849461431673,30,0.07628905910143777,-0.5364980879686763
225,0.1661549728178735,14,0.00015145638286586104,-0.7741068299891828
249,6.13208574100693,1,0.0018143740277872765,-0.5354262839556957
439,0.32451226398164595,34,1.1917534069056825e-07,-0.7604064780535369
324,0.05769883381558669,54,0.17211161739512357,-0.7378726937550467
405,0.018602279479054906,7,0.03159483536794246,-0.7900555327025914
205,0.03688381706881111,22,0.00733125798749015,-0.770578713225772
272,0.10707225636927944,1,0.018207286280549073,-0.7899843076313665
342,0.23102698310250738,18,0.000322466204110546,-0.7784911711382299
167,2.876722277976961,28,0.11441008679435932,-0.5063843563843564
284,0.029970223928775422,86,1.421776958476531,-0.6638965065435654
261,0.6486658051427441,3,5.945143594966575,-0.780122111004464
361,0.4035084599274449,9,3.1182683819677163e-06,-0.7814056858174505
478,1.3888414015089914,49,0.04973501517180684,-0.7656691347867819
305,1.9069474816237852,63,0.003208286743393587,-0.5409582247817541
450,0.9648081550209463,38,6.496899697149404e-05,-0.7580495756966344
498,0.06630921958611243,96,0.00018946158412976385,-0.6763464204640676
396,9.849980430901505,15,0.32256615170470065,-0.5250917927388514
414,5.741377657596343,20,0.0012444989643122985,-0.5355595929125341
136,0.005142037466478015,31,0.005536862029183086,-0.6836719380837027
244,0.17894030949049713,25,0.010232262987688867,-0.7826473635297164
432,0.09236294293901587,12,0.00011272501949940993,-0.7928462604933193
320,0.015131966324151678,5,0.0004854738286197248,-0.7670174596645184
376,0.5037563822888808,40,6.23061824042708e-07,-0.7516774075597604
287,0.7638872228159802,58,0.022531363741005662,-0.7597589774060363
295,0.14828970632054614,44,3.5171060578739696e-05,-0.7547084723555312
223,0.29869394896979085,76,0.000699182644005981,-0.7334331246095952
335,1.3124733423427448,36,9.39345668887966e-06,-0.7484894190776543
